Filename;fort_fight_gustav.wav
Original text;Just the three of you are going to be holding the fort tonight. He fought many battles with the early Labor party in Lancaster and discrimination against socialist employees was alleged.
Recognized text;so just the three of you are going to be holding the four tonight he fought many battles with the early Labour party in Lancaster and and discrimination against socialist employees was alleged
Confidence;93.15%
Time needed (seconds);4.12
Real time factor;0.29
Word correct rate;0.00
Word error rate;1.00
Recall;0.97
Precision;0.91
F-Score;0.94
